variant,calendar_date_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,gross_return_pct_on_50k,win_rate_pct
type1_sniper,2025-12-04,MYM,2,355.0,142.0,177.5,0.7100000000000001,50.0
type1_sniper,2025-12-05,MES,2,250.0,10.0,125.0,0.5,50.0
type1_sniper,2025-12-05,MGC,3,2.500000000009095,0.0500000000001819,0.833333333336365,0.005000000000018157,33.33333333333333
type1_sniper,2025-12-05,MNQ,9,1967.5,196.75,218.61111111111111,3.935,55.55555555555556
type1_sniper,2025-12-08,MES,1,-81.25,-3.25,-81.25,-0.1625,0.0
type1_sniper,2025-12-08,MGC,2,-430.00000000006366,-8.600000000001273,-215.00000000003183,-0.8600000000001273,0.0
type1_sniper,2025-12-08,MYM,2,-211.25,-84.5,-105.625,-0.4225,0.0
type1_sniper,2025-12-09,MGC,4,1380.6249999999181,27.612499999998363,345.15624999997954,2.761249999999836,75.0
type1_sniper,2025-12-09,MNQ,2,1215.0,121.5,607.5,2.4299999999999997,100.0
type1_sniper,2025-12-09,MYM,1,-35.625,-14.25,-35.625,-0.07125000000000001,0.0
type1_sniper,2025-12-10,MES,6,812.5,32.5,135.41666666666666,1.6249999999999998,50.0
type1_sniper,2025-12-10,MNQ,10,3125.625,312.5625,312.5625,6.25125,70.0
type1_sniper,2025-12-10,MYM,1,-173.125,-69.25,-173.125,-0.34625,0.0
type1_sniper,2025-12-12,MES,3,-168.75,-6.75,-56.25,-0.3375,33.33333333333333
type1_sniper,2025-12-12,MGC,4,-1290.0000000000546,-25.80000000000109,-322.50000000001364,-2.5800000000001093,0.0
type1_sniper,2025-12-12,MYM,3,1818.28125,727.3125,606.09375,3.6365625,100.0
type1_sniper,2025-12-15,MNQ,6,-217.5,-21.75,-36.25,-0.435,16.666666666666664
type1_sniper,2025-12-15,MYM,4,-527.5,-211.0,-131.875,-1.055,0.0
type1_sniper,2025-12-16,MES,7,1926.5625,77.0625,275.2232142857143,3.853125,85.71428571428571
type1_sniper,2025-12-16,MGC,4,3091.8750000000728,61.837500000001455,772.9687500000182,6.1837500000001455,75.0
type1_sniper,2025-12-16,MNQ,3,2000.625,200.0625,666.875,4.00125,100.0
type1_sniper,2025-12-16,MYM,2,-356.25,-142.5,-178.125,-0.7124999999999999,0.0
type1_sniper,2025-12-17,MES,1,-125.0,-5.0,-125.0,-0.25,0.0
type1_sniper,2025-12-17,MGC,7,801.8750000002001,16.037500000004002,114.55357142860001,1.6037500000003997,42.857142857142854
type1_sniper,2025-12-17,MNQ,6,1192.5,119.25,198.75,2.385,50.0
type1_sniper,2025-12-22,MGC,1,-77.5000000000091,-1.550000000000182,-77.5000000000091,-0.15500000000001818,0.0
type1_sniper,2025-12-22,MNQ,7,-235.0,-23.5,-33.57142857142857,-0.47000000000000003,14.285714285714285
type1_sniper,2025-12-22,MYM,1,-243.125,-97.25,-243.125,-0.48624999999999996,0.0
type1_sniper,2025-12-23,MNQ,2,-202.5,-20.25,-101.25,-0.40499999999999997,0.0
type1_sniper,2025-12-23,MYM,1,-95.625,-38.25,-95.625,-0.19125,0.0
type1_sniper,2025-12-24,MES,1,-87.5,-3.5,-87.5,-0.17500000000000002,0.0
type1_sniper,2025-12-24,MNQ,2,-550.0,-55.0,-275.0,-1.1,0.0
